match_id,utc_date,matchday,attendance,team,formation,home_or_away,winner,full_time_home,full_time_away,ball_possession,corner_kicks,fouls,free_kicks,goal_kicks,offsides,red_cards,yellow_cards,yellow_red_cards,saves,shots,shots_on_goal,shots_off_goal,throw_ins,goals_scored,goals_suffered
504020,2024-08-09T19:15:00Z,1,38513,Sporting Clube de Portugal,3-4-3,home,HOME_TEAM,3,1,59.0,6.0,9.0,14.0,4.0,0.0,0,2,0,0.0,24.0,7.0,12.0,18.0,3,1
504020,2024-08-09T19:15:00Z,1,38513,Rio Ave FC,3-4-2-1,away,HOME_TEAM,3,1,41.0,1.0,14.0,9.0,13.0,0.0,0,2,0,4.0,3.0,1.0,2.0,13.0,1,3
504016,2024-08-10T14:30:00Z,1,1596,AVS,4-3-3,home,DRAW,1,1,49.0,4.0,6.0,13.0,9.0,0.0,0,1,0,0.0,16.0,5.0,10.0,18.0,1,1
504016,2024-08-10T14:30:00Z,1,1596,CD Nacional,4-3-3,away,DRAW,1,1,51.0,2.0,12.0,6.0,14.0,1.0,0,1,0,4.0,5.0,1.0,4.0,17.0,1,1
504021,2024-08-10T17:00:00Z,1,1142,Casa Pia AC,3-4-3,home,AWAY_TEAM,0,1,64.0,3.0,11.0,6.0,3.0,3.0,0,2,0,1.0,13.0,2.0,11.0,25.0,0,1
504021,2024-08-10T17:00:00Z,1,1142,Boavista FC,4-1-4-1,away,AWAY_TEAM,0,1,36.0,1.0,5.0,14.0,13.0,1.0,0,1,0,2.0,5.0,2.0,3.0,14.0,1,0
504024,2024-08-10T19:30:00Z,1,46813,FC Porto,4-2-3-1,home,HOME_TEAM,3,0,68.0,7.0,17.0,9.0,3.0,1.0,0,0,0,1.0,15.0,5.0,6.0,14.0,3,0
504024,2024-08-10T19:30:00Z,1,46813,Gil Vicente FC,4-2-3-1,away,HOME_TEAM,3,0,32.0,2.0,8.0,18.0,8.0,1.0,0,2,1,2.0,2.0,1.0,1.0,10.0,0,3
504023,2024-08-11T14:30:00Z,1,1968,GD Estoril Praia,4-3-3,home,AWAY_TEAM,1,4,43.0,1.0,10.0,21.0,5.0,1.0,0,6,0,2.0,4.0,2.0,2.0,21.0,1,4
504023,2024-08-11T14:30:00Z,1,1968,CD Santa Clara,3-4-3,away,AWAY_TEAM,1,4,57.0,3.0,19.0,11.0,9.0,2.0,0,3,0,1.0,9.0,6.0,2.0,11.0,4,1
504017,2024-08-11T17:00:00Z,1,5255,SC Farense,4-2-3-1,home,AWAY_TEAM,1,2,49.0,5.0,14.0,12.0,6.0,1.0,0,0,0,5.0,14.0,7.0,3.0,30.0,1,2
504017,2024-08-11T17:00:00Z,1,5255,Moreirense FC,4-2-3-1,away,AWAY_TEAM,1,2,51.0,4.0,10.0,15.0,9.0,2.0,0,3,1,6.0,11.0,6.0,4.0,21.0,2,1
